nome,cpf,endereço,estado,pais,idade,data
Aylla Oliveira,950.426.817-01,"Núcleo Barbosa, 59
Distrito Industrial Do Jatoba
37457558 da Conceição / GO",Paraíba,Brasil,39,31/10/1985
Guilherme Moura,078.412.563-53,"Alameda de Oliveira, 1
Minas Caixa
76928-835 Câmara do Galho / MS",Mato Grosso do Sul,Brasil,27,03/11/1997
Srta. Ana Vitória Guerra,192.570.836-59,"Viaduto Ravi Lucca Cunha
Madre Gertrudes
73915-927 Fonseca / PE",Rondônia,Brasil,84,08/11/1940
João Gabriel Aparecida,196.237.085-21,"Estrada Cirino, 20
Vila Do Pombal
76042191 Câmara da Praia / AP",Mato Grosso,Brasil,23,09/01/2002
Brayan Freitas,763.495.028-92,"Trecho Zoe Montenegro
Vila Rica
06249-088 Borges / AM",Tocantins,Brasil,53,24/07/1971
Daniela Macedo,582.470.639-56,"Jardim Olivia Azevedo, 99
Vila Havaí
76420-993 Cunha / SC",Rio de Janeiro,Brasil,49,19/02/1975
Sr. Ian Rocha,301.265.978-12,"Residencial de Mendonça, 178
Pindura Saia
31425-923 Ramos / RN",Espírito Santo,Brasil,48,09/10/1976
Luiz Gustavo Silva,952.014.736-52,"Condomínio de Cavalcante, 22
Ipiranga
27740784 da Rosa / SC",Rio Grande do Norte,Brasil,78,17/08/1946
Srta. Gabriela Gomes,136.754.028-35,"Praia Machado, 91
Mirante
46691-670 Barros / SP",Rondônia,Brasil,71,05/08/1953
Sra. Emanuelly Montenegro,918.504.327-32,"Favela de Peixoto, 73
Vila Madre Gertrudes 1ª Seção
25729-652 Andrade / TO",Bahia,Brasil,46,14/11/1978
Maitê Rodrigues,349.058.761-84,"Pátio Fogaça, 92
João Paulo Ii
94465-851 das Neves da Serra / MT",Rondônia,Brasil,81,09/06/1943
Davi Miguel Fernandes,092.653.487-47,"Conjunto Rezende, 2
Morro Dos Macacos
72399-635 Nogueira Alegre / MT",Paraíba,Brasil,72,11/02/1952
Ravi Lucca Silveira,164.579.238-28,"Pátio Ferreira, 4
Vila Mantiqueira
50768901 Mendes da Prata / GO",Tocantins,Brasil,78,27/07/1946
Breno Freitas,730.482.659-29,"Viela Anna Liz das Neves, 274
Coqueiros
88592-812 Camargo de Goiás / MG",Pernambuco,Brasil,44,19/08/1980
Maria Helena Silveira,108.526.397-59,"Chácara de Pires, 670
Goiania
03144719 Pastor de Garcia / SP",Rondônia,Brasil,53,22/11/1971
