nome,cpf,idade,data,endereco,estado
Nome Inválido,640.719.385-01 ,90,1933-06-12,"trevo emanuel silva, 482
                                                                                           vila tirol
                                                                                           47847085 pereira / ap                  ",RONDÔNIA
Nome Inválido,651.297.384-46 ,40,1984-06-03,"recanto moraes, 7
                                                                                           ernesto nascimento
                                                                                           96497-621 da rosa / pb                 ",RIO DE JANEIRO
Nome Inválido,164.750.293-43 ,76,1947-12-04,"residencial de pereira, 20
                                                                                           jatobá
                                                                                           62127-165 gomes de santos / al         ",PERNAMBUCO
Nome Inválido,085.167.249-30 ,53,,"parque almeida, 66
                                                                                           vila suzana segunda seção
                                                                                           09805-686 santos / se                  ",SANTA CATARINA
Nome Inválido,520.876.319-21 ,68,,"rodovia de pereira, 51
                                                                                           estrela
                                                                                           44830637 mendes de moraes / ba         ",RIO DE JANEIRO
Nome Inválido,210.764.589-20 ,69,1954-09-05,"esplanada lavínia ramos
                                                                                           são francisco
                                                                                           39467-536 da mata / sp                 ",DISTRITO FEDERAL
Nome Inválido,960.342.175-80 ,41,,"praça cavalcanti, 65
                                                                                           conjunto celso machado
                                                                                           97788-105 vieira / ro                  ",PARANÁ
Nome Inválido,302.568.479-83 ,31,1993-10-03,"esplanada monteiro, 88
                                                                                           conjunto paulo vi
                                                                                           06403-281 moraes / go                  ",RORAIMA
Nome Inválido,451.896.703-84 ,49,,"ladeira monteiro, 57
                                                                                           vila primeiro de maio
                                                                                           76835-491 moura dos dourados / ce      ",ACRE
Nome Inválido,843.095.172-50 ,51,,"recanto luiz miguel jesus, 35
                                                                                           vila aeroporto jaraguá
                                                                                           50536-588 oliveira de goiás / pb       ",MINAS GERAIS
Nome Inválido,520.679.841-01 ,89,,"ladeira de porto, 38
                                                                                           nova america
                                                                                           91782042 barros de da mata / to        ",RORAIMA
Nome Inválido,384.172.609-78 ,23,,"via de jesus, 57
                                                                                           vila da amizade
                                                                                           93849-206 correia / pb                 ",GOIÁS
Nome Inválido,736.581.942-19 ,55,1969-09-03,"lago castro, 94
                                                                                           mariano de abreu
                                                                                           24415-900 porto / rj                   ",GOIÁS
Nome Inválido,128.953.704-60 ,83,,"setor isadora da rosa, 583
                                                                                           chácara leonina
                                                                                           20125668 teixeira / rr                 ",MATO GROSSO DO SUL
Nome Inválido,078.153.294-97 ,83,1941-10-03,"viaduto pedro lucas cavalcanti, 49
                                                                                           tiradentes
                                                                                           27653-901 rezende / rs                 ",MARANHÃO
Nome Inválido,305.184.962-60 ,37,1987-03-02,"rua vitor hugo pinto, 21
                                                                                           anchieta
                                                                                           08712074 ramos / rj                    ",BAHIA
Nome Inválido,397.201.856-86 ,77,,"rodovia aragão, 245
                                                                                           conjunto lagoa
                                                                                           61224-422 pinto / mg                   ",BAHIA
Nome Inválido,374.691.850-20 ,69,,"alameda de lima, 65
                                                                                           boa esperança
                                                                                           49621639 fernandes de moraes / pe      ",AMAPÁ
Nome Inválido,135.796.802-77 ,62,,"trecho lucas sales, 24
                                                                                           dom bosco
                                                                                           09228582 da cunha alegre / ro          ",CEARÁ
Nome Inválido,097.521.834-41 ,54,,"passarela igor novaes, 89
                                                                                           pompéia
                                                                                           32670-098 martins / se                 ",ACRE
Nome Inválido,468.751.390-57 ,81,1942-05-07,"sítio luna carvalho, 98
                                                                                           novo santa cecilia
                                                                                           32066-338 nunes / am                   ",ACRE
Nome Inválido,625.904.731-25 ,73,,"esplanada de castro, 4
                                                                                           vila nova cachoeirinha 1ª seção
                                                                                           69704-913 pires / mt                   ",RORAIMA
Nome Inválido,036.458.921-33 ,35,,"estrada de aragão, 1
                                                                                           vila barragem santa lúcia
                                                                                           49120-746 campos / ac                  ",RIO DE JANEIRO
Nome Inválido,508.379.462-47 ,44,1979-04-07,"via gabriela nascimento
                                                                                           madre gertrudes
                                                                                           45044395 nascimento do galho / ap      ",MATO GROSSO DO SUL
Nome Inválido,186.970.354-57 ,79,1945-06-03,"travessa vinicius da mata, 52
                                                                                           alta tensão 1ª seção
                                                                                           66380-981 dias do campo / ce           ",SÃO PAULO
Nome Inválido,054.921.378-32 ,63,,"largo vieira
                                                                                           milionario
                                                                                           78970057 dias / df                     ",CEARÁ
Nome Inválido,873.402.691-69 ,57,,"área lucas gabriel silveira, 51
                                                                                           anchieta
                                                                                           55284-530 rocha / pe                   ",RIO DE JANEIRO
Nome Inválido,819.402.563-05 ,60,,"jardim isabelly gomes, 23
                                                                                           nossa senhora de fátima
                                                                                           81186-838 da luz da serra / es         ",PARANÁ
Nome Inválido,196.540.732-34 ,95,,"distrito de silveira
                                                                                           dona clara
                                                                                           14225405 araújo / am                   ",MARANHÃO
Nome Inválido,968.502.347-65 ,63,,"travessa ana júlia da rocha
                                                                                           miramar
                                                                                           01287083 fogaça do oeste / to          ",PIAUÍ
Nome Inválido,208.157.463-26 ,38,1985-07-09,"avenida milena pires, 360
                                                                                           vila rica
                                                                                           71412995 pereira / ap                  ",TOCANTINS
Nome Inválido,067.152.389-95 ,55,1968-09-09,"rodovia marcelo souza, 25
                                                                                           estrela
                                                                                           24438186 vieira / rn                   ",AMAZONAS
Nome Inválido,853.471.906-39 ,51,,"pátio alexandre teixeira, 243
                                                                                           indaiá
                                                                                           21474228 cavalcanti paulista / rr      ",PARANÁ
Nome Inválido,593.204.186-24 ,50,,"via clara da rosa, 928
                                                                                           castelo
                                                                                           87117-636 caldeira de campos / rr      ",RORAIMA
Nome Inválido,278.534.619-09 ,58,1965-07-05,"estação ribeiro, 46
                                                                                           venda nova
                                                                                           45512787 silva / pb                    ",AMAZONAS
Nome Inválido,120.347.586-17 ,60,1963-01-11,"sítio de cavalcanti, 97
                                                                                           juliana
                                                                                           21342254 monteiro de campos / pa       ",SANTA CATARINA
Nome Inválido,974.281.306-03 ,52,,"condomínio de rodrigues, 52
                                                                                           conjunto providencia
                                                                                           93625-248 da luz / sc                  ",TOCANTINS
Nome Inválido,526.980.731-95 ,71,,"rodovia vieira, 63
                                                                                           conjunto taquaril
                                                                                           85325522 pires / rn                    ",TOCANTINS
Nome Inválido,907.231.564-25 ,31,1992-05-11,"recanto de da conceição, 1
                                                                                           paraíso
                                                                                           52583-232 sales / am                   ",CEARÁ
Nome Inválido,804.125.796-85 ,61,,"setor de azevedo, 375
                                                                                           castanheira
                                                                                           56381800 teixeira das pedras / al      ",MATO GROSSO DO SUL
Nome Inválido,492.768.130-04 ,54,1969-10-05,"ladeira pietra cunha, 13
                                                                                           vista alegre
                                                                                           86652477 monteiro / pa                 ",PARÁ
Nome Inválido,285.917.604-76 ,38,,"vereda davi lucca barbosa, 35
                                                                                           estrela do oriente
                                                                                           38759-767 rodrigues de goiás / go      ",GOIÁS
Nome Inválido,572.840.693-92 ,95,,"rodovia ana júlia araújo, 68
                                                                                           vila real 2ª seção
                                                                                           22775-108 da mata dos dourados / pe    ",MARANHÃO
Nome Inválido,948.061.752-85 ,23,2000-03-12,"distrito de barros, 41
                                                                                           suzana
                                                                                           54500-129 da rocha / rj                ",RORAIMA
Nome Inválido,946.031.875-48 ,59,,"feira campos, 17
                                                                                           cruzeiro
                                                                                           01967-483 ribeiro de pires / df        ",CEARÁ
Nome Inválido,435.698.712-82 ,40,,"avenida vitor hugo cardoso, 34
                                                                                           vila são rafael
                                                                                           96831280 da cunha / sc                 ",RIO GRANDE DO SUL
Nome Inválido,198.506.473-10 ,45,1978-08-07,"rodovia de souza, 63
                                                                                           vila nova dos milionarios
                                                                                           81275-813 rocha / ms                   ",RIO GRANDE DO SUL
Nome Inválido,097.184.263-96 ,87,,"residencial ian da paz, 6
                                                                                           padre eustáquio
                                                                                           41928916 fernandes de correia / pr     ",RONDÔNIA
Nome Inválido,431.975.068-39 ,62,1961-07-08,"ladeira de da paz, 98
                                                                                           jardim dos comerciarios
                                                                                           48285699 ribeiro / pe                  ",ACRE
Nome Inválido,865.279.143-00 ,44,,"ladeira pereira, 21
                                                                                           buraco quente
                                                                                           50425764 fogaça verde / ba             ",MARANHÃO
Nome Inválido,017.459.382-14 ,76,,"área barros, 46
                                                                                           salgado filho
                                                                                           98637-706 alves de goiás / ba          ",PARANÁ
Nome Inválido,132.695.407-52 ,34,,"vereda luiz felipe costa, 70
                                                                                           minaslandia
                                                                                           23088133 moraes / df                   ",RORAIMA
Nome Inválido,873.045.912-50 ,97,,"vila sales, 97
                                                                                           paquetá
                                                                                           59231544 da luz grande / es            ",PERNAMBUCO
Nome Inválido,324.157.968-91 ,24,1999-11-12,"favela alana ribeiro, 318
                                                                                           casa branca
                                                                                           79179-607 barros da praia / ms         ",CEARÁ
Nome Inválido,905.164.728-01 ,35,,"parque freitas, 82
                                                                                           ouro minas
                                                                                           59029142 lima da prata / ac            ",TOCANTINS
Nome Inválido,038.496.512-15 ,88,,"trecho bryan da cunha, 1
                                                                                           betânia
                                                                                           61163162 correia verde / pa            ",AMAZONAS
Nome Inválido,534.870.296-00 ,30,,"esplanada moreira
                                                                                           pindura saia
                                                                                           93675777 da cunha da mata / es         ",MINAS GERAIS
Nome Inválido,673.105.482-80 ,22,,"campo de barros, 16
                                                                                           silveira
                                                                                           43534-126 duarte do galho / df         ",CEARÁ
Nome Inválido,051.382.694-70 ,89,1934-04-12,"distrito esther campos, 264
                                                                                           apolonia
                                                                                           13908-226 souza / pa                   ",TOCANTINS
Nome Inválido,760.389.541-39 ,99,,"largo pires, 78
                                                                                           bacurau
                                                                                           13125523 sales verde / ap              ",PIAUÍ
Nome Inválido,530.641.782-53 ,49,1974-10-09,"campo isabelly freitas
                                                                                           novo santa cecilia
                                                                                           94562211 da mata / ce                  ",ACRE
Nome Inválido,412.563.970-16 ,69,,"favela maria novaes
                                                                                           savassi
                                                                                           60241424 da costa das flores / rr      ",RIO GRANDE DO SUL
Nome Inválido,630.549.782-65 ,42,1981-10-10,"trevo moraes, 5
                                                                                           cônego pinheiro 1ª seção
                                                                                           38769-503 ramos de rocha / sp          ",RIO GRANDE DO SUL
Nome Inválido,836.109.275-77 ,97,1926-12-06,"rua mendes, 337
                                                                                           penha
                                                                                           06179-472 sales do sul / sp            ",MINAS GERAIS
Nome Inválido,268.935.074-29 ,23,,"lagoa cardoso, 1
                                                                                           ambrosina
                                                                                           61793-758 da rocha / sp                ",MATO GROSSO
Nome Inválido,430.297.815-50 ,96,,"lago maitê campos, 31
                                                                                           braúnas
                                                                                           72279-259 costa do sul / to            ",PARANÁ
Nome Inválido,268.517.934-82 ,92,,"residencial barbosa, 44
                                                                                           zilah sposito
                                                                                           26601655 aragão de goiás / ap          ",RIO GRANDE DO SUL
Nome Inválido,935.287.104-97 ,36,,"recanto de rocha, 68
                                                                                           conjunto califórnia i
                                                                                           12467-132 jesus do norte / se          ",SANTA CATARINA
Nome Inválido,107.286.439-87 ,98,1926-11-02,"vale gustavo henrique alves, 50
                                                                                           vila madre gertrudes 4ª seção
                                                                                           75200-837 correia grande / al          ",MATO GROSSO DO SUL
Nome Inválido,631.750.489-00 ,86,,"vila farias
                                                                                           vila satélite
                                                                                           80983484 gonçalves de fogaça / rn      ",ALAGOAS
Nome Inválido,179.386.425-09 ,22,,"fazenda de porto, 3
                                                                                           senhor dos passos
                                                                                           60244655 mendes / ma                   ",MATO GROSSO
Nome Inválido,314.602.985-51 ,73,1950-04-08,"setor miguel pires, 3
                                                                                           ermelinda
                                                                                           63141374 pires / pa                    ",RIO GRANDE DO NORTE
Nome Inválido,759.083.641-93 ,99,,"morro de castro
                                                                                           vila pilar
                                                                                           68132710 vieira do sul / sp            ",CEARÁ
Nome Inválido,812.035.469-98 ,28,1995-05-10,"praça ferreira, 764
                                                                                           vila sumaré
                                                                                           04459429 teixeira da serra / ce        ",DISTRITO FEDERAL
Nome Inválido,039.124.687-96 ,47,,"vereda cauê novaes, 14
                                                                                           conjunto califórnia ii
                                                                                           17511624 caldeira / ba                 ",DISTRITO FEDERAL
Nome Inválido,863.247.190-22 ,78,,"fazenda de pinto, 42
                                                                                           são jorge 1ª seção
                                                                                           94419954 correia de mendes / pr        ",RONDÔNIA
Nome Inválido,492.537.016-25 ,81,,"loteamento luiz felipe teixeira, 87
                                                                                           novo ouro preto
                                                                                           09824175 araújo / am                   ",RORAIMA
Nome Inválido,347.156.029-70 ,38,,"quadra emanuella da conceição, 29
                                                                                           cruzeiro
                                                                                           48756-294 fogaça de correia / ms       ",RIO GRANDE DO NORTE
Nome Inválido,365.248.907-10 ,63,,"rodovia danilo costa, 17
                                                                                           alta tensão 2ª seção
                                                                                           93173-991 almeida do oeste / ms        ",PIAUÍ
Nome Inválido,940.813.762-04 ,55,,"vila stephany lima
                                                                                           vista do sol
                                                                                           43271006 costa / pa                    ",AMAZONAS
Nome Inválido,579.042.183-05 ,72,1952-03-01,"morro de cardoso, 47
                                                                                           marçola
                                                                                           82157940 melo / se                     ",PIAUÍ
Nome Inválido,925.164.380-60 ,62,,"lagoa sarah azevedo
                                                                                           monsenhor messias
                                                                                           68691-716 nunes / ce                   ",PARÁ
Nome Inválido,694.815.037-39 ,90,1933-11-05,"loteamento oliveira, 29
                                                                                           camponesa 1ª seção
                                                                                           35499227 da rosa do oeste / pe         ",RIO GRANDE DO SUL
Nome Inválido,937.815.426-37 ,69,,"largo nascimento, 97
                                                                                           delta
                                                                                           00090-218 barbosa / pr                 ",RONDÔNIA
Nome Inválido,349.682.017-96 ,70,,Endereço inválido,RIO GRANDE DO SUL
