nome,cpf,idade,endereco,bairro,estado,data
Nome Inválido,CPF Inválido,91.0,"trevo emanuel silva, 482",vila tirol,AP,1933-06-12
Nome Inválido,CPF Inválido,40.0,"recanto moraes, 7",ernesto nascimento,PB,1984-06-03
Nome Inválido,CPF Inválido,77.0,"residencial de pereira, 20",jatobá,AL,1947-12-04
Nome Inválido,CPF Inválido,,"parque almeida, 66",vila suzana segunda seção,SE,
Nome Inválido,CPF Inválido,,"rodovia de pereira, 51",estrela,BA,
Nome Inválido,CPF Inválido,70.0,esplanada lavínia ramos,são francisco,SP,1954-09-05
Nome Inválido,CPF Inválido,,"praça cavalcanti, 65",conjunto celso machado,RO,
Nome Inválido,CPF Inválido,31.0,"esplanada monteiro, 88",conjunto paulo vi,GO,1993-10-03
Nome Inválido,CPF Inválido,,"ladeira monteiro, 57",vila primeiro de maio,CE,
Nome Inválido,CPF Inválido,,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,PB,
Nome Inválido,CPF Inválido,,"ladeira de porto, 38",nova america,TO,
Nome Inválido,CPF Inválido,,"via de jesus, 57",vila da amizade,PB,
Nome Inválido,CPF Inválido,55.0,"lago castro, 94",mariano de abreu,RJ,1969-09-03
Nome Inválido,CPF Inválido,,"setor isadora da rosa, 583",chácara leonina,RR,
Nome Inválido,CPF Inválido,83.0,"viaduto pedro lucas cavalcanti, 49",tiradentes,RS,1941-10-03
Nome Inválido,CPF Inválido,37.0,"rua vitor hugo pinto, 21",anchieta,RJ,1987-03-02
Nome Inválido,CPF Inválido,,"rodovia aragão, 245",conjunto lagoa,MG,
Nome Inválido,CPF Inválido,,"alameda de lima, 65",boa esperança,PE,
Nome Inválido,CPF Inválido,,"trecho lucas sales, 24",dom bosco,RO,
Nome Inválido,CPF Inválido,,"passarela igor novaes, 89",pompéia,SE,
Nome Inválido,CPF Inválido,82.0,"sítio luna carvalho, 98",novo santa cecilia,AM,1942-05-07
Nome Inválido,CPF Inválido,,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,MT,
Nome Inválido,CPF Inválido,,"estrada de aragão, 1",vila barragem santa lúcia,AC,
Nome Inválido,CPF Inválido,45.0,via gabriela nascimento,madre gertrudes,AP,1979-04-07
Nome Inválido,CPF Inválido,79.0,"travessa vinicius da mata, 52",alta tensão 1ª seção,CE,1945-06-03
Nome Inválido,CPF Inválido,,largo vieira,milionario,DF,
Nome Inválido,CPF Inválido,,"área lucas gabriel silveira, 51",anchieta,PE,
Nome Inválido,CPF Inválido,,"jardim isabelly gomes, 23",nossa senhora de fátima,ES,
Nome Inválido,CPF Inválido,,distrito de silveira,dona clara,AM,
Nome Inválido,CPF Inválido,,travessa ana júlia da rocha,miramar,TO,
Nome Inválido,CPF Inválido,39.0,"avenida milena pires, 360",vila rica,AP,1985-07-09
Nome Inválido,CPF Inválido,56.0,"rodovia marcelo souza, 25",estrela,RN,1968-09-09
Nome Inválido,CPF Inválido,,"pátio alexandre teixeira, 243",indaiá,RR,
Nome Inválido,CPF Inválido,,"via clara da rosa, 928",castelo,RR,
Nome Inválido,CPF Inválido,59.0,"estação ribeiro, 46",venda nova,PB,1965-07-05
Nome Inválido,CPF Inválido,62.0,"sítio de cavalcanti, 97",juliana,PA,1963-01-11
Nome Inválido,CPF Inválido,,"condomínio de rodrigues, 52",conjunto providencia,SC,
Nome Inválido,CPF Inválido,,"rodovia vieira, 63",conjunto taquaril,RN,
Nome Inválido,CPF Inválido,32.0,"recanto de da conceição, 1",paraíso,AM,1992-05-11
Nome Inválido,CPF Inválido,,"setor de azevedo, 375",castanheira,AL,
Nome Inválido,CPF Inválido,55.0,"ladeira pietra cunha, 13",vista alegre,PA,1969-10-05
Nome Inválido,CPF Inválido,,"vereda davi lucca barbosa, 35",estrela do oriente,GO,
Nome Inválido,CPF Inválido,,"rodovia ana júlia araújo, 68",vila real 2ª seção,PE,
Nome Inválido,CPF Inválido,24.0,"distrito de barros, 41",suzana,RJ,2000-03-12
Nome Inválido,CPF Inválido,,"feira campos, 17",cruzeiro,DF,
Nome Inválido,CPF Inválido,,"avenida vitor hugo cardoso, 34",vila são rafael,SC,
Nome Inválido,CPF Inválido,46.0,"rodovia de souza, 63",vila nova dos milionarios,MS,1978-08-07
Nome Inválido,CPF Inválido,,"residencial ian da paz, 6",padre eustáquio,PR,
Nome Inválido,CPF Inválido,63.0,"ladeira de da paz, 98",jardim dos comerciarios,PE,1961-07-08
Nome Inválido,CPF Inválido,,"ladeira pereira, 21",buraco quente,BA,
Nome Inválido,CPF Inválido,,"área barros, 46",salgado filho,BA,
Nome Inválido,CPF Inválido,,"vereda luiz felipe costa, 70",minaslandia,DF,
Nome Inválido,CPF Inválido,,"vila sales, 97",paquetá,ES,
Nome Inválido,CPF Inválido,25.0,"favela alana ribeiro, 318",casa branca,MS,1999-11-12
Nome Inválido,CPF Inválido,,"parque freitas, 82",ouro minas,AC,
Nome Inválido,CPF Inválido,,"trecho bryan da cunha, 1",betânia,PA,
Nome Inválido,CPF Inválido,,esplanada moreira,pindura saia,ES,
Nome Inválido,CPF Inválido,,"campo de barros, 16",silveira,DF,
Nome Inválido,CPF Inválido,90.0,"distrito esther campos, 264",apolonia,PA,1934-04-12
Nome Inválido,CPF Inválido,,"largo pires, 78",bacurau,AP,
Nome Inválido,CPF Inválido,50.0,campo isabelly freitas,novo santa cecilia,CE,1974-10-09
Nome Inválido,CPF Inválido,,favela maria novaes,savassi,RR,
Nome Inválido,CPF Inválido,43.0,"trevo moraes, 5",cônego pinheiro 1ª seção,SP,1981-10-10
Nome Inválido,CPF Inválido,98.0,"rua mendes, 337",penha,SP,1926-12-06
Nome Inválido,CPF Inválido,,"lagoa cardoso, 1",ambrosina,SP,
Nome Inválido,CPF Inválido,,"lago maitê campos, 31",braúnas,TO,
Nome Inválido,CPF Inválido,,"residencial barbosa, 44",zilah sposito,AP,
Nome Inválido,CPF Inválido,,"recanto de rocha, 68",conjunto califórnia i,SE,
Nome Inválido,CPF Inválido,98.0,"vale gustavo henrique alves, 50",vila madre gertrudes 4ª seção,AL,1926-11-02
Nome Inválido,CPF Inválido,,vila farias,vila satélite,RN,
Nome Inválido,CPF Inválido,,"fazenda de porto, 3",senhor dos passos,MA,
Nome Inválido,CPF Inválido,74.0,"setor miguel pires, 3",ermelinda,PA,1950-04-08
Nome Inválido,CPF Inválido,,morro de castro,vila pilar,SP,
Nome Inválido,CPF Inválido,29.0,"praça ferreira, 764",vila sumaré,CE,1995-05-10
Nome Inválido,CPF Inválido,,"vereda cauê novaes, 14",conjunto califórnia ii,BA,
Nome Inválido,CPF Inválido,,"fazenda de pinto, 42",são jorge 1ª seção,PR,
Nome Inválido,CPF Inválido,,"loteamento luiz felipe teixeira, 87",novo ouro preto,AM,
Nome Inválido,CPF Inválido,,"quadra emanuella da conceição, 29",cruzeiro,MS,
Nome Inválido,CPF Inválido,,"rodovia danilo costa, 17",alta tensão 2ª seção,MS,
